0	 CONN	3	 1	 up
1000	 CONN	3	 1	 down
2000	 CONN	3	 1	 up
3000	 CONN	3	 1	 down
4000	 CONN	3	 1	 up
5000	 CONN	3	 1	 down
6000	 CONN	3	 1	 up
7000	 CONN	3	 1	 down
8000	 CONN	3	 1	 up
9000	 CONN	3	 1	 down
10000	 CONN	3	 1	 up
11000	 CONN	3	 1	 down
12000	 CONN	3	 1	 up
13000	 CONN	3	 1	 down
14000	 CONN	3	 1	 up
15000	 CONN	3	 1	 down
16000	 CONN	3	 1	 up
17000	 CONN	3	 1	 down
18000	 CONN	3	 1	 up
19000	 CONN	3	 1	 down
20000	 CONN	4	 1	 up
21000	 CONN	4	 1	 down
22000	 CONN	4	 1	 up
23000	 CONN	4	 1	 down
24000	 CONN	4	 1	 up
25000	 CONN	4	 1	 down
26000	 CONN	4	 1	 up
27000	 CONN	4	 1	 down
28000	 CONN	4	 1	 up
29000	 CONN	9	 1	 up
30000	 CONN	4	 1	 down
31000	 CONN	9	 1	 down
32000	 CONN	9	 1	 up
33000	 CONN	9	 1	 down
34000	 CONN	4	 3	 up
35000	 CONN	4	 3	 down
36000	 CONN	4	 3	 up
37000	 CONN	4	 3	 down
38000	 CONN	4	 3	 up
39000	 CONN	4	 3	 down
40000	 CONN	4	 3	 up
41000	 CONN	4	 3	 down
42000	 CONN	4	 3	 up
43000	 CONN	4	 3	 down
44000	 CONN	4	 3	 up
45000	 CONN	4	 3	 down
46000	 CONN	4	 3	 up
47000	 CONN	4	 3	 down
48000	 CONN	4	 3	 up
49000	 CONN	4	 3	 down
50000	 CONN	4	 3	 up
51000	 CONN	4	 3	 down
52000	 CONN	4	 3	 up
53000	 CONN	8	 5	 up
54000	 CONN	4	 3	 down
54000	 CONN	4	 3	 down
